yourlist:M201912106746803381A1F0E0DB47453E0216320D314B872,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
TCIRG1,Q6QBN5,Q6QBN5_HUMAN,unreviewed,V-type proton ATPase subunit a (Fragment),TCIRG1,Homo sapiens (Human),95
TCIRG1,Q6QBN6,Q6QBN6_HUMAN,unreviewed,T-cell immune regulator 1 transcript variant 6 (Fragment),TCIRG1,Homo sapiens (Human),60
TCIRG1,Q6QBN7,Q6QBN7_HUMAN,unreviewed,V-type proton ATPase subunit a (Fragment),TCIRG1,Homo sapiens (Human),45
TCIRG1,Q6QBN8,Q6QBN8_HUMAN,unreviewed,V-type proton ATPase subunit a (Fragment),TCIRG1,Homo sapiens (Human),125
TCIRG1,Q8TCH1,Q8TCH1_HUMAN,unreviewed,V-type proton ATPase subunit a (Fragment),TCIRG1,Homo sapiens (Human),61
LRP5,A0A1P8NQD0,A0A1P8NQD0_HUMAN,unreviewed,Low-density lipoprotein receptor-related protein 5 (Fragment),LRP5,Homo sapiens (Human),132
LRP5,A0A1P8NQD1,A0A1P8NQD1_HUMAN,unreviewed,Low-density lipoprotein receptor-related protein 5 (Fragment),LRP5,Homo sapiens (Human),132
LRP5,A0A1P8NQE2,A0A1P8NQE2_HUMAN,unreviewed,Low-density lipoprotein receptor-related protein 5 (Fragment),LRP5,Homo sapiens (Human),32
LRP5,E9PHY1,E9PHY1_HUMAN,unreviewed,Low-density lipoprotein receptor-related protein 5,LRP5,Homo sapiens (Human),471
LRP5,H0YE98,H0YE98_HUMAN,unreviewed,Low-density lipoprotein receptor-related protein 5 (Fragment),LRP5,Homo sapiens (Human),172
LRP5,O75197,LRP5_HUMAN,reviewed,Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7),LRP5 LR3 LRP7,Homo sapiens (Human),1615
CPT1A,A0A024R5F4,A0A024R5F4_HUMAN,unreviewed,"Carnitine palmitoyltransferase 1A (Liver), isoform CRA_a",CPT1A hCG_2039450,Homo sapiens (Human),773
CPT1A,H3BMD2,H3BMD2_HUMAN,unreviewed,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,Homo sapiens (Human),78
CPT1A,H3BP22,H3BP22_HUMAN,unreviewed,"Carnitine O-palmitoyltransferase 1, liver isoform (Fragment)",CPT1A,Homo sapiens (Human),117
CPT1A,H3BUJ0,H3BUJ0_HUMAN,unreviewed,"Carnitine O-palmitoyltransferase 1, liver isoform (Fragment)",CPT1A,Homo sapiens (Human),93
CPT1A,H3BUV7,H3BUV7_HUMAN,unreviewed,"Carnitine O-palmitoyltransferase 1, liver isoform (Fragment)",CPT1A,Homo sapiens (Human),134
CPT1A,P50416,CPT1A_HUMAN,reviewed,"Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A)",CPT1A CPT1,Homo sapiens (Human),773
CPT1A,Q8WZ48,Q8WZ48_HUMAN,unreviewed,Carnitine palmitoyltransferase I (Fragment),CPT1A,Homo sapiens (Human),28
IGHMBP2,F5GX64,F5GX64_HUMAN,unreviewed,DNA-binding protein SMUBP-2,IGHMBP2,Homo sapiens (Human),192
IGHMBP2,F5H5K3,F5H5K3_HUMAN,unreviewed,DNA-binding protein SMUBP-2,IGHMBP2,Homo sapiens (Human),29
IGHMBP2,H3BRR1,H3BRR1_HUMAN,unreviewed,DNA-binding protein SMUBP-2,IGHMBP2,Homo sapiens (Human),91
IGHMBP2,P38935,SMBP2_HUMAN,reviewed,DNA-binding protein SMUBP-2 (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent helicase IGHMBP2) (Glial factor 1) (GF-1) (Immunoglobulin mu-binding protein 2),IGHMBP2 SMBP2 SMUBP2,Homo sapiens (Human),993
FGF3,P11487,FGF3_HUMAN,reviewed,Fibroblast growth factor 3 (FGF-3) (Heparin-binding growth factor 3) (HBGF-3) (Proto-oncogene Int-2),FGF3 INT2,Homo sapiens (Human),239
DHCR7,A0A024R5F7,A0A024R5F7_HUMAN,unreviewed,"7-dehydrocholesterol reductase isoform 1 (7-dehydrocholesterol reductase, isoform CRA_a)",DHCR7 hCG_2017142,Homo sapiens (Human),475
DHCR7,A0A0S2Z3N8,A0A0S2Z3N8_HUMAN,unreviewed,7-dehydrocholesterol reductase isoform 4 (Fragment),DHCR7,Homo sapiens (Human),165
DHCR7,A0A0S2Z3S3,A0A0S2Z3S3_HUMAN,unreviewed,7-dehydrocholesterol reductase isoform 2,DHCR7,Homo sapiens (Human),263
DHCR7,A0A0S2Z3U5,A0A0S2Z3U5_HUMAN,unreviewed,7-dehydrocholesterol reductase isoform 3,DHCR7,Homo sapiens (Human),73
DHCR7,A0A1Y1B909,A0A1Y1B909_HUMAN,unreviewed,7-dehydrocholesterol reductase,DHCR7,Homo sapiens (Human),475
DHCR7,A0A1Y1BBN3,A0A1Y1BBN3_HUMAN,unreviewed,7-dehydrocholesterol (Fragment),DHCR7,Homo sapiens (Human),198
DHCR7,A0A1Y1BG54,A0A1Y1BG54_HUMAN,unreviewed,7-dehydrocholesterol (Fragment),DHCR7,Homo sapiens (Human),198
DHCR7,E9PIP9,E9PIP9_HUMAN,unreviewed,7-dehydrocholesterol reductase (Fragment),DHCR7,Homo sapiens (Human),107
DHCR7,E9PJ54,E9PJ54_HUMAN,unreviewed,7-dehydrocholesterol reductase (Fragment),DHCR7,Homo sapiens (Human),164
DHCR7,E9PLZ2,E9PLZ2_HUMAN,unreviewed,7-dehydrocholesterol reductase (Fragment),DHCR7,Homo sapiens (Human),73
DHCR7,E9PM00,E9PM00_HUMAN,unreviewed,7-dehydrocholesterol reductase (Fragment),DHCR7,Homo sapiens (Human),258
DHCR7,E9PQ71,E9PQ71_HUMAN,unreviewed,7-dehydrocholesterol reductase (Fragment),DHCR7,Homo sapiens (Human),105
DHCR7,E9PRL8,E9PRL8_HUMAN,unreviewed,7-dehydrocholesterol reductase (Fragment),DHCR7,Homo sapiens (Human),91
DHCR7,H0YCS7,H0YCS7_HUMAN,unreviewed,7-dehydrocholesterol reductase (Fragment),DHCR7,Homo sapiens (Human),116
DHCR7,H0YE57,H0YE57_HUMAN,unreviewed,7-dehydrocholesterol reductase (Fragment),DHCR7,Homo sapiens (Human),221
DHCR7,H0YEJ5,H0YEJ5_HUMAN,unreviewed,7-dehydrocholesterol reductase (Fragment),DHCR7,Homo sapiens (Human),245
DHCR7,Q9UBM7,DHCR7_HUMAN,reviewed,7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Delta7-sterol reductase) (Sterol Delta(7)-reductase) (Sterol reductase SR-2),DHCR7 D7SR,Homo sapiens (Human),475
DHCR7,X5D9E1,X5D9E1_HUMAN,unreviewed,7-dehydrocholesterol reductase isoform C (Fragment),DHCR7,Homo sapiens (Human),201
DHCR7,X5DNI9,X5DNI9_HUMAN,unreviewed,7-dehydrocholesterol reductase isoform A (Fragment),DHCR7,Homo sapiens (Human),475
DHCR7,X5DRD7,X5DRD7_HUMAN,unreviewed,7-dehydrocholesterol reductase isoform B,DHCR7,Homo sapiens (Human),335
LRTOMT,F5GYI0,F5GYI0_HUMAN,unreviewed,Leucine-rich repeat-containing protein 51 (Fragment),LRTOMT,Homo sapiens (Human),103
LRTOMT,F5H614,F5H614_HUMAN,unreviewed,Leucine-rich repeat-containing protein 51,LRTOMT,Homo sapiens (Human),65
LRTOMT,F5H6F7,F5H6F7_HUMAN,unreviewed,"cDNA, FLJ79541, highly similar to Leucine-rich repeat-containing protein 51",LRTOMT,Homo sapiens (Human),54
LRTOMT,F5H6K5,F5H6K5_HUMAN,unreviewed,Leucine-rich repeat-containing protein 51,LRTOMT,Homo sapiens (Human),38
LRTOMT,L8E8S0,L8E8S0_HUMAN,unreviewed,Alternative protein LRTOMT,LRTOMT,Homo sapiens (Human),109
LRTOMT,Q8WZ04,TOMT_HUMAN,reviewed,Transmembrane O-methyltransferase (EC 2.1.1.6) (Catechol O-methyltransferase 2) (Protein LRTOMT2),LRTOMT COMT2 TOMT PP7517,Homo sapiens (Human),291
LRTOMT,Q96E66,LRC51_HUMAN,reviewed,Leucine-rich repeat-containing protein 51 (Protein LRTOMT1),LRTOMT LRRC51,Homo sapiens (Human),192
FOLR1,A0A024R5H1,A0A024R5H1_HUMAN,unreviewed,"Folate receptor 1 (Adult), isoform CRA_a",FOLR1 hCG_23234,Homo sapiens (Human),257
FOLR1,P15328,FOLR1_HUMAN,reviewed,"Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18)",FOLR1 FOLR,Homo sapiens (Human),257
CLPB,A0A140VK11,A0A140VK11_HUMAN,unreviewed,"ClpB caseinolytic peptidase B homolog (E. coli), isoform CRA_a (Testicular secretory protein Li 11)",CLPB hCG_24098,Homo sapiens (Human),707
CLPB,A0A2R8Y602,A0A2R8Y602_HUMAN,unreviewed,Caseinolytic peptidase B protein homolog (Fragment),CLPB,Homo sapiens (Human),382
CLPB,A0A2R8Y6R5,A0A2R8Y6R5_HUMAN,unreviewed,Caseinolytic peptidase B protein homolog,CLPB,Homo sapiens (Human),327
CLPB,A0A2R8Y7E8,A0A2R8Y7E8_HUMAN,unreviewed,Caseinolytic peptidase B protein homolog (Fragment),CLPB,Homo sapiens (Human),122
CLPB,A0A2R8YDH5,A0A2R8YDH5_HUMAN,unreviewed,Caseinolytic peptidase B protein homolog (Fragment),CLPB,Homo sapiens (Human),141
CLPB,A0A2U3TZY2,A0A2U3TZY2_HUMAN,unreviewed,Caseinolytic peptidase B protein homolog,CLPB,Homo sapiens (Human),692
CLPB,F5GX99,F5GX99_HUMAN,unreviewed,Caseinolytic peptidase B protein homolog,CLPB,Homo sapiens (Human),149
CLPB,F5H392,F5H392_HUMAN,unreviewed,Caseinolytic peptidase B protein homolog (Fragment),CLPB,Homo sapiens (Human),149
CLPB,F5H7A5,F5H7A5_HUMAN,unreviewed,Caseinolytic peptidase B protein homolog (Fragment),CLPB,Homo sapiens (Human),152
CLPB,F6SS08,F6SS08_HUMAN,unreviewed,Caseinolytic peptidase B protein homolog (Fragment),CLPB,Homo sapiens (Human),75
CLPB,H0YG50,H0YG50_HUMAN,unreviewed,Caseinolytic peptidase B protein homolog (Fragment),CLPB,Homo sapiens (Human),44
CLPB,H0YGM0,H0YGM0_HUMAN,unreviewed,Caseinolytic peptidase B protein homolog (Fragment),CLPB,Homo sapiens (Human),712
CLPB,Q7Z777,Q7Z777_HUMAN,unreviewed,CLPB protein,CLPB,Homo sapiens (Human),315
CLPB,Q9H078,CLPB_HUMAN,reviewed,Caseinolytic peptidase B protein homolog (EC 3.6.1.3) (Suppressor of potassium transport defect 3),CLPB HSP78 SKD3,Homo sapiens (Human),707
UCP2,A0A024R5N5,A0A024R5N5_HUMAN,unreviewed,"Uncoupling protein 2 (Mitochondrial, proton carrier), isoform CRA_a",UCP2 hCG_27329,Homo sapiens (Human),309
UCP2,F5GX45,F5GX45_HUMAN,unreviewed,Mitochondrial uncoupling protein 2,UCP2,Homo sapiens (Human),225
UCP2,F5H312,F5H312_HUMAN,unreviewed,Mitochondrial uncoupling protein 2 (Fragment),UCP2,Homo sapiens (Human),32
UCP2,H0YFQ0,H0YFQ0_HUMAN,unreviewed,Mitochondrial uncoupling protein 2 (Fragment),UCP2,Homo sapiens (Human),129
UCP2,P55851,UCP2_HUMAN,reviewed,Mitochondrial uncoupling protein 2 (UCP 2) (Solute carrier family 25 member 8) (UCPH),UCP2 SLC25A8,Homo sapiens (Human),309
KCNE3,E9PJQ7,E9PJQ7_HUMAN,unreviewed,Potassium voltage-gated channel subfamily E member 3 (Fragment),KCNE3,Homo sapiens (Human),12
KCNE3,E9PJV9,E9PJV9_HUMAN,unreviewed,Potassium voltage-gated channel subfamily E member 3 (Fragment),KCNE3,Homo sapiens (Human),52
KCNE3,E9PN03,E9PN03_HUMAN,unreviewed,Potassium voltage-gated channel subfamily E member 3 (Fragment),KCNE3,Homo sapiens (Human),49
KCNE3,Q2N1I1,Q2N1I1_HUMAN,unreviewed,Cardiac voltage-gated potassium channel accessory subunit isoform 3a (Cardiac voltage-gated potassium channel accessory subunit isoform 3b) (Potassium voltage-gated channel subfamily E member 3) (Fragment),KCNE3,Homo sapiens (Human),99
KCNE3,Q6IAE6,Q6IAE6_HUMAN,unreviewed,"KCNE3 protein (Potassium voltage-gated channel subfamily E member 3) (Potassium voltage-gated channel, Isk-related family, member 3) (cDNA, FLJ92142, Homo sapiens potassium voltage-gated channel, Isk-related family,member 3 (KCNE3), mRNA)",KCNE3 DKFZp781H21101 hCG_27327,Homo sapiens (Human),103
KCNE3,Q9Y6H6,KCNE3_HUMAN,reviewed,Potassium voltage-gated channel subfamily E member 3 (MinK-related peptide 2) (Minimum potassium ion channel-related peptide 2) (Potassium channel subunit beta MiRP2),KCNE3,Homo sapiens (Human),103
SERPINH1,A0A024R5K8,A0A024R5K8_HUMAN,unreviewed,"Serpin peptidase inhibitor, clade H (Heat shock protein 47), member 1, (Collagen binding protein 1), isoform CRA_a",SERPINH1 hCG_26462,Homo sapiens (Human),418
SERPINH1,E9PIG2,E9PIG2_HUMAN,unreviewed,Serpin H1 (Fragment),SERPINH1,Homo sapiens (Human),165
SERPINH1,E9PJH8,E9PJH8_HUMAN,unreviewed,Serpin H1 (Fragment),SERPINH1,Homo sapiens (Human),150
SERPINH1,E9PK86,E9PK86_HUMAN,unreviewed,Serpin H1 (Fragment),SERPINH1,Homo sapiens (Human),247
SERPINH1,E9PKH2,E9PKH2_HUMAN,unreviewed,Serpin H1,SERPINH1,Homo sapiens (Human),201
SERPINH1,E9PLA6,E9PLA6_HUMAN,unreviewed,Serpin H1 (Fragment),SERPINH1,Homo sapiens (Human),85
SERPINH1,E9PMI5,E9PMI5_HUMAN,unreviewed,Serpin H1 (Fragment),SERPINH1,Homo sapiens (Human),249
SERPINH1,E9PNX1,E9PNX1_HUMAN,unreviewed,Serpin H1 (Fragment),SERPINH1,Homo sapiens (Human),203
SERPINH1,E9PPV6,E9PPV6_HUMAN,unreviewed,Serpin H1,SERPINH1,Homo sapiens (Human),324
SERPINH1,E9PQ34,E9PQ34_HUMAN,unreviewed,Serpin H1 (Fragment),SERPINH1,Homo sapiens (Human),142
SERPINH1,E9PR70,E9PR70_HUMAN,unreviewed,Serpin H1 (Fragment),SERPINH1,Homo sapiens (Human),295
SERPINH1,E9PRS3,E9PRS3_HUMAN,unreviewed,Serpin H1 (Fragment),SERPINH1,Homo sapiens (Human),166
SERPINH1,H0YEP8,H0YEP8_HUMAN,unreviewed,Serpin H1 (Fragment),SERPINH1,Homo sapiens (Human),56
SERPINH1,P50454,SERPH_HUMAN,reviewed,Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3) (AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein) (Colligin) (Rheumatoid arthritis-related antigen RA-A47),SERPINH1 CBP1 CBP2 HSP47 SERPINH2 PIG14,Homo sapiens (Human),418
MYO7A,A0A087WT71,A0A087WT71_HUMAN,unreviewed,Unconventional myosin-VIIa,MYO7A,Homo sapiens (Human),1198
MYO7A,A0A590UJ94,A0A590UJ94_HUMAN,unreviewed,Unconventional myosin-VIIa (Fragment),MYO7A,Homo sapiens (Human),1076
MYO7A,A0A590UJG0,A0A590UJG0_HUMAN,unreviewed,Unconventional myosin-VIIa (Fragment),MYO7A,Homo sapiens (Human),74
MYO7A,A0A590UJR8,A0A590UJR8_HUMAN,unreviewed,Unconventional myosin-VIIa (Fragment),MYO7A,Homo sapiens (Human),100
MYO7A,B9A012,B9A012_HUMAN,unreviewed,Unconventional myosin-VIIa (Fragment),MYO7A,Homo sapiens (Human),533
MYO7A,H7C4D8,H7C4D8_HUMAN,unreviewed,Unconventional myosin-VIIa (Fragment),MYO7A,Homo sapiens (Human),1357
MYO7A,Q13402,MYO7A_HUMAN,reviewed,Unconventional myosin-VIIa,MYO7A USH1B,Homo sapiens (Human),2215
ALG8,A0A024R5K5,A0A024R5K5_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-)",ALG8 hCG_1819356,Homo sapiens (Human),526
ALG8,A0A0S2Z5N3,A0A0S2Z5N3_HUMAN,unreviewed,Asparagine-linked glycosylation 8 alpha-13-glucosyltransferase-like protein isoform 2,ALG8,Homo sapiens (Human),51
ALG8,E9PK79,E9PK79_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),242
ALG8,E9PKA5,E9PKA5_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),172
ALG8,E9PLP7,E9PLP7_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),96
ALG8,E9PNE2,E9PNE2_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-)",ALG8,Homo sapiens (Human),236
ALG8,E9PP04,E9PP04_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),126
ALG8,E9PP80,E9PP80_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-)",ALG8,Homo sapiens (Human),133
ALG8,E9PP96,E9PP96_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),282
ALG8,E9PR58,E9PR58_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),136
ALG8,H0YCV0,H0YCV0_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),228
ALG8,H0YD42,H0YD42_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),157
ALG8,H0YDD3,H0YDD3_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),226
ALG8,H0YDQ1,H0YDQ1_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),87
ALG8,H0YDV4,H0YDV4_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),197
ALG8,H0YEE0,H0YEE0_HUMAN,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",ALG8,Homo sapiens (Human),281
ALG8,L8E8S9,L8E8S9_HUMAN,unreviewed,Alternative protein ALG8,ALG8,Homo sapiens (Human),42
ALG8,Q9BVK2,ALG8_HUMAN,reviewed,"Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8 homolog) (Dol-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)",ALG8 HUSSY-02,Homo sapiens (Human),526
TMEM126A,E9PI90,E9PI90_HUMAN,unreviewed,Transmembrane protein 126A,TMEM126A,Homo sapiens (Human),95
TMEM126A,E9PIH8,E9PIH8_HUMAN,unreviewed,Transmembrane protein 126A,TMEM126A,Homo sapiens (Human),39
TMEM126A,Q9H061,T126A_HUMAN,reviewed,Transmembrane protein 126A,TMEM126A,Homo sapiens (Human),195
FZD4,Q9BY80,Q9BY80_HUMAN,unreviewed,Soluble-type polypeptide FZD4S,FZD4,Homo sapiens (Human),125
FZD4,Q9ULV1,FZD4_HUMAN,reviewed,Frizzled-4 (Fz-4) (hFz4) (FzE4) (CD antigen CD344),FZD4,Homo sapiens (Human),537
CTSC,H0YCY8,H0YCY8_HUMAN,unreviewed,Dipeptidyl peptidase 1 (Fragment),CTSC,Homo sapiens (Human),244
CTSC,H0YDA2,H0YDA2_HUMAN,unreviewed,Dipeptidyl peptidase 1 (Fragment),CTSC,Homo sapiens (Human),36
CTSC,I3V9S3,I3V9S3_HUMAN,unreviewed,Dipeptidyl peptidase 1 isoform a preproprotein (EC 3.4.14.1) (Fragment),CTSC,Homo sapiens (Human),48
CTSC,I3V9T0,I3V9T0_HUMAN,unreviewed,Dipeptidyl peptidase 1 isoform a preproprotein (EC 3.4.14.1) (Fragment),CTSC,Homo sapiens (Human),48
CTSC,I3V9T1,I3V9T1_HUMAN,unreviewed,Dipeptidyl peptidase 1 isoform a preproprotein (EC 3.4.14.1) (Fragment),CTSC,Homo sapiens (Human),48
CTSC,I3V9V3,I3V9V3_HUMAN,unreviewed,Dipeptidyl peptidase 1 isoform a preproprotein (Fragment),CTSC,Homo sapiens (Human),55
CTSC,I3V9V6,I3V9V6_HUMAN,unreviewed,Dipeptidyl peptidase 1 isoform a preproprotein (Fragment),CTSC,Homo sapiens (Human),55
CTSC,P53634,CATC_HUMAN,reviewed,Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)],CTSC CPPI,Homo sapiens (Human),463
TYR,A0A024DBG7,A0A024DBG7_HUMAN,unreviewed,Tyrosinase,TYR,Homo sapiens (Human),529
TYR,L8B082,L8B082_HUMAN,unreviewed,"Tyrosinase (EC 1.14.18.1) (Tyrosinase (Oculocutaneous albinism IA), isoform CRA_a)",TYR hCG_19690,Homo sapiens (Human),529
TYR,L8B086,L8B086_HUMAN,unreviewed,Tyrosinase (EC 1.14.18.1),TYR,Homo sapiens (Human),529
TYR,L8B0B9,L8B0B9_HUMAN,unreviewed,Tyrosinase (EC 1.14.18.1),TYR,Homo sapiens (Human),529
TYR,P14679,TYRO_HUMAN,reviewed,Tyrosinase (EC 1.14.18.1) (LB24-AB) (Monophenol monooxygenase) (SK29-AB) (Tumor rejection antigen AB),TYR,Homo sapiens (Human),529
TYR,Q9UMA2,Q9UMA2_HUMAN,unreviewed,TYR protein (Fragment),TYR,Homo sapiens (Human),60
TYR,U3M8N0,U3M8N0_HUMAN,unreviewed,Tyrosinase,TYR,Homo sapiens (Human),529
TYR,U3M9D5,U3M9D5_HUMAN,unreviewed,Tyrosinase,TYR,Homo sapiens (Human),529
TYR,U3M9J2,U3M9J2_HUMAN,unreviewed,Tyrosinase,TYR,Homo sapiens (Human),529
MRE11A,A0A024R395,A0A024R395_HUMAN,unreviewed,Double-strand break repair protein,MRE11A hCG_2032472,Homo sapiens (Human),708
MRE11A,A0A0S2Z438,A0A0S2Z438_HUMAN,unreviewed,MRE11 meiotic recombination 11-like protein A isoform 2,MRE11A,Homo sapiens (Human),114
MRE11A,L8E9C6,L8E9C6_HUMAN,unreviewed,Alternative protein MRE11A,MRE11A,Homo sapiens (Human),65
MRE11A,P49959,MRE11_HUMAN,reviewed,Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A),MRE11 HNGS1 MRE11A,Homo sapiens (Human),708
MRE11A,Q05D78,Q05D78_HUMAN,unreviewed,MRE11A protein (Fragment),MRE11A,Homo sapiens (Human),517
MRE11A,Q9BS79,Q9BS79_HUMAN,unreviewed,MRE11 meiotic recombination 11 homolog A (S. cerevisiae) (MRE11 meiotic recombination 11-like protein A isoform 1) (MRE11A protein),MRE11A,Homo sapiens (Human),206
MTMR2,A0A024R3B7,A0A024R3B7_HUMAN,unreviewed,"Myotubularin related protein 2, isoform CRA_a",MTMR2 hCG_21453,Homo sapiens (Human),571
MTMR2,C9JEX3,C9JEX3_HUMAN,unreviewed,Myotubularin-related protein 2 (Fragment),MTMR2,Homo sapiens (Human),556
MTMR2,Q13614,MTMR2_HUMAN,reviewed,"Myotubularin-related protein 2 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)",MTMR2 KIAA1073,Homo sapiens (Human),643
TRPC6,E9PJN4,E9PJN4_HUMAN,unreviewed,Short transient receptor potential channel 6,TRPC6,Homo sapiens (Human),853
TRPC6,Q9Y210,TRPC6_HUMAN,reviewed,Short transient receptor potential channel 6 (TrpC6) (Transient receptor protein 6) (TRP-6),TRPC6 TRP6,Homo sapiens (Human),931
MMP20,O43923,O43923_HUMAN,unreviewed,Matrix metalloproteinase-25 (Metalloproteinase),MMP25 MMP20 mmp20,Homo sapiens (Human),183
MMP20,O60882,MMP20_HUMAN,reviewed,Matrix metalloproteinase-20 (MMP-20) (EC 3.4.24.-) (Enamel metalloproteinase) (Enamelysin),MMP20,Homo sapiens (Human),483
MMP20,Q9NPA2,MMP25_HUMAN,reviewed,Matrix metalloproteinase-25 (MMP-25) (EC 3.4.24.-) (Leukolysin) (Membrane-type matrix metalloproteinase 6) (MT-MMP 6) (MTMMP6) (Membrane-type-6 matrix metalloproteinase) (MT6-MMP) (MT6MMP),MMP25 MMP20 MMPL1 MT6MMP,Homo sapiens (Human),562
MMP13,A0A4P8LAY1,A0A4P8LAY1_HUMAN,unreviewed,Matrix metalloproteinase 13 (Fragment),MMP13,Homo sapiens (Human),28
MMP13,G5E971,G5E971_HUMAN,unreviewed,"Collagenase 3 (Matrix metallopeptidase 13 (Collagenase 3), isoform CRA_a)",MMP13 hCG_39650,Homo sapiens (Human),489
MMP13,L0R508,L0R508_HUMAN,unreviewed,Alternative protein MMP13,MMP13,Homo sapiens (Human),56
MMP13,L8EA04,L8EA04_HUMAN,unreviewed,Alternative protein MMP13,MMP13,Homo sapiens (Human),47
MMP13,P45452,MMP13_HUMAN,reviewed,Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13),MMP13,Homo sapiens (Human),471
MMP13,Q7Z5M0,Q7Z5M0_HUMAN,unreviewed,Collagenase 3 (Collagenase-3 deletion variant COL3-DEL),MMP13,Homo sapiens (Human),383
DYNC2H1,A0A3B3ISP9,A0A3B3ISP9_HUMAN,unreviewed,Cytoplasmic dynein 2 heavy chain 1,DYNC2H1,Homo sapiens (Human),1255
DYNC2H1,A0A3B3IT36,A0A3B3IT36_HUMAN,unreviewed,Cytoplasmic dynein 2 heavy chain 1,DYNC2H1,Homo sapiens (Human),751
DYNC2H1,H0YDE0,H0YDE0_HUMAN,unreviewed,Cytoplasmic dynein 2 heavy chain 1 (Fragment),DYNC2H1,Homo sapiens (Human),378
DYNC2H1,H0YEX1,H0YEX1_HUMAN,unreviewed,Cytoplasmic dynein 2 heavy chain 1 (Fragment),DYNC2H1,Homo sapiens (Human),224
DYNC2H1,Q49AI6,Q49AI6_HUMAN,unreviewed,DYNC2H1 protein,DYNC2H1,Homo sapiens (Human),504
